time, Quad.IMU.AX
2.694987,-1.014648
2.699987,0.253707
2.704986,-0.193460
2.709986,-0.200647
2.714986,0.447040
2.719985,-0.192111
2.724985,0.539509
2.729985,-0.162619
2.734984,0.372474
2.739984,0.196139
2.744983,-0.774078
2.749983,-0.131346
2.754983,0.271229
2.759982,0.074920
2.764982,-0.118435
2.769982,-0.162937
2.774981,-0.964997
2.779981,0.071131
2.784981,0.719469
2.789980,-0.540529
2.794980,1.310956
2.799979,-0.844610
2.804979,-0.939485
2.809979,-0.319217
2.814978,-0.042936
2.819978,-0.352849
2.824978,-0.605147
2.829977,0.644452
2.834977,-1.182731
2.839977,-0.405470
2.844976,0.287071
2.849976,-0.249595
2.854975,-0.390029
2.859975,-0.190868
2.864975,-0.505753
2.869974,-0.281353
2.874974,0.264685
2.879974,0.705414
2.884973,-0.686171
2.889973,0.685441
2.894973,0.206510
2.899972,-0.375065
2.904972,-0.642604
2.909971,1.083450
2.914971,0.455949
2.919971,0.674229
2.924970,-0.311788
2.929970,0.402796
2.934970,-0.290161
2.939969,0.272779
2.944969,-0.176797
2.949969,-0.079478
2.954968,-0.112119
2.959968,0.732830
2.964967,0.068055
2.969967,0.214740
2.974967,-0.683641
2.979966,1.005017
2.984966,-0.407323
2.989966,-0.304631
2.994965,-0.485384
2.999965,-0.367448
3.004965,-0.793844
3.009964,0.141141
3.014964,-0.372995
3.019964,0.371619
3.024963,-0.700571
3.029963,-0.389704
3.034962,0.387259
3.039962,0.713484
3.044962,0.215029
3.049961,0.176604
3.054961,0.537085
3.059961,-0.909396
3.064960,1.006107
3.069960,0.753017
3.074960,0.427663
3.079959,-0.094428
3.084959,0.379641
3.089958,-0.270933
3.094958,-0.079534
3.099958,-0.441740
3.104957,-0.171022
3.109957,-0.377896
3.114957,0.060375
3.119956,-0.232310
3.124956,0.054802
3.129956,-0.477231
3.134955,-0.875996
3.139955,0.408504
3.144954,0.438030
3.149954,-0.736413
3.154954,-0.372783
3.159953,0.069370
3.164953,0.463539
3.169953,0.660975
3.174952,0.348280
3.179952,0.478504
3.184952,0.081645
3.189951,0.105608
3.194951,-0.248491
3.199950,-0.409391
3.204950,0.307604
3.209950,0.529551
3.214949,0.029459
3.219949,-0.248823
3.224949,-0.391843
3.229948,0.212230
3.234948,-0.540869
3.239948,0.010158
3.244947,-0.587387
3.249947,-0.852019
3.254946,-0.524783
3.259946,0.495539
3.264946,-0.040468
3.269945,-0.315324
3.274945,0.739571
3.279945,-0.061964
3.284944,0.426598
3.289944,-0.826989
3.294944,0.541396
3.299943,0.711084
3.304943,0.178129
3.309942,0.046666
3.314942,-0.794814
3.319942,0.623413
3.324941,-0.375155
3.329941,-0.797441
3.334941,0.242014
3.339940,-0.386532
3.344940,-0.023095
3.349940,0.673185
3.354939,0.224227
3.359939,0.080440
3.364938,0.353985
3.369938,0.827141
3.374938,0.394284
3.379937,0.149802
3.384937,0.263281
3.389937,-0.104299
3.394936,-0.552651
3.399936,-0.607784
3.404936,0.389628
3.409935,-0.458233
3.414935,-0.675946
3.419935,-0.042145
3.424934,-0.211225
3.429934,-0.612946
3.434933,-0.728125
3.439933,-0.002637
3.444933,0.110032
3.449932,0.064479
3.454932,0.260523
3.459932,-0.170968
3.464931,0.139053
3.469931,0.280596
3.474931,0.318764
3.479930,0.097434
3.484930,0.164173
3.489929,-0.293618
3.494929,-0.709179
3.499929,0.133350
3.504928,0.083081
3.509928,1.092396
3.514928,-0.236648
3.519927,0.787404
3.524927,0.711693
3.529927,0.338552
3.534926,-0.036149
3.539926,-1.008627
3.544925,0.498176
3.549925,0.302990
3.554925,0.448576
3.559924,0.909492
3.564924,-0.565643
3.569924,0.816732
3.574923,-0.237966
3.579923,0.140864
3.584923,-0.078778
3.589922,-0.105186
3.594922,0.518882
3.599921,0.629048
3.604921,-0.947937
3.609921,0.125604
3.614920,0.685465
3.619920,-0.231692
3.624920,0.080608
3.629919,-0.037664
3.634919,-0.015936
3.639919,-0.214340
3.644918,-0.051927
3.649918,0.190361
3.654917,0.185198
3.659917,0.217849
3.664917,0.198153
3.669916,0.186924
3.674916,0.248113
3.679916,-0.399914
3.684915,-0.189194
3.689915,0.324891
3.694915,0.079880
3.699914,0.902173
3.704914,0.408869
3.709913,-0.440561
3.714913,-0.400721
3.719913,-0.270900
3.724912,-0.359897
3.729912,-0.475625
3.734912,-0.508495
3.739911,0.140078
3.744911,0.324811
3.749911,0.191272
3.754910,-0.922329
3.759910,-0.921506
3.764910,0.581416
3.769909,-0.148804
3.774909,-0.102425
3.779908,0.038582
3.784908,-0.186314
3.789908,0.076676
3.794907,0.376313
3.799907,0.222418
3.804907,0.218908
3.809906,0.251757
3.814906,0.220127
3.819906,0.406576
3.824905,0.622037
3.829905,-0.308828
3.834904,0.613502
3.839904,0.526456
3.844904,0.513484
